作物经验效率完整列表
================================================================================

排名 | seed_id | 作物名称 | 生长时间 | 收获经验 | 总经验 | 每小时经验
  45 |   20067 | 香瓜       | 4小时0分      |      537 |    538 |     134.50
  46 |   20038 | 木瓜       | 8小时0分      |     1074 |   1075 |     134.38
  47 |   20053 | 桂圆       | 12小时0分     |     1611 |   1612 |     134.33
  48 |   20080 | 月柿       | 1天0小时      |     3222 |   3223 |     134.29
  49 |   20055 | 枇杷       | 4小时0分      |      510 |    511 |     127.75
  50 |   20034 | 樱桃       | 8小时0分      |     1020 |   1021 |     127.62
  51 |   20413 | 李子       | 12小时0分     |     1530 |   1531 |     127.58
  52 |   20035 | 荔枝       | 1天0小时      |     3060 |   3061 |     127.54
  53 |   20128 | 茉莉花      | 4小时0分      |      508 |    509 |     127.25
  54 |   20013 | 葡萄       | 8小时0分      |     1016 |   1017 |     127.12
  55 |   20044 | 丝瓜       | 12小时0分     |     1524 |   1525 |     127.08
  56 |   20072 | 榛子       | 1天0小时      |     3048 |   3049 |     127.04
  57 |   20045 | 猕猴桃      | 4小时0分      |      480 |    481 |     120.25
  58 |   20054 | 梨        | 8小时0分      |      960 |    961 |     120.13
  59 |   20442 | 睡莲       | 12小时0分     |     1440 |   1441 |     120.08
  60 |   20033 | 火龙果      | 1天0小时      |     2880 |   2881 |     120.04
  61 |   20002 | 白萝卜      | 1分0秒       |        1 |      2 |     120.00
  62 |   20100 | 竹笋       | 4小时0分      |      476 |    477 |     119.25
  63 |   20018 | 桃子       | 8小时0分      |      952 |    953 |     119.13
  64 |   20047 | 甘蔗       | 12小时0分     |     1428 |   1429 |     119.08
  65 |   20019 | 橙子       | 1天0小时      |     2856 |   2857 |     119.04
  66 |   20029 | 椰子       | 4小时0分      |      456 |    457 |     114.25
  67 |   20049 | 花生       | 8小时0分      |      912 |    913 |     114.13
  68 |   20052 | 金针菇      | 12小时0分     |     1368 |   1369 |     114.08
  69 |   20031 | 葫芦       | 1天0小时      |     2736 |   2737 |     114.04
  70 |   20145 | 向日葵      | 4小时0分      |      448 |    449 |     112.25
  71 |   20014 | 西瓜       | 8小时0分      |      896 |    897 |     112.13
  72 |   20070 | 黄豆       | 12小时0分     |     1344 |   1345 |     112.08
  73 |   20015 | 香蕉       | 1天0小时      |     2688 |   2689 |     112.04
  74 |   20050 | 蘑菇       | 4小时0分      |      429 |    430 |     107.50
  75 |   20027 | 菠萝       | 8小时0分      |      858 |    859 |     107.38
  76 |   20036 | 箬竹       | 12小时0分     |     1287 |   1288 |     107.33
  77 |   20043 | 无花果      | 1天0小时      |     2574 |   2575 |     107.29
  78 |   20104 | 非洲菊      | 4小时0分      |      420 |    421 |     105.25
  79 |   20135 | 火绒草      | 8小时0分      |      840 |    841 |     105.13
  80 |   20141 | 花香根鸢尾    | 12小时0分     |     1260 |   1261 |     105.08
  81 |   20142 | 虞美人      | 1天0小时      |     2520 |   2521 |     105.04
  82 |   20073 | 菠菜       | 4小时0分      |      392 |    393 |      98.25
  83 |   20001 | 草莓       | 8小时0分      |      784 |    785 |      98.13
  84 |   20011 | 苹果       | 12小时0分     |     1176 |   1177 |      98.08
  85 |   20062 | 四叶草      | 1天0小时      |     2352 |   2353 |      98.04
  86 |   20103 | 天香百合     | 4小时0分      |      368 |    369 |      92.25
  87 |   20010 | 南瓜       | 8小时0分      |      736 |    737 |      92.13
  88 |   20308 | 核桃       | 12小时0分     |     1104 |   1105 |      92.08
  89 |   20091 | 山楂       | 1天0小时      |     2208 |   2209 |      92.04
  90 |   20003 | 胡萝卜      | 2分0秒       |        2 |      3 |      90.00
  91 |   20162 | 秋菊（红色）   | 4小时0分      |      344 |    345 |      86.25
  92 |   20009 | 辣椒       | 8小时0分      |      688 |    689 |      86.13
  93 |   21542 | 新春红包     | 8小时0分      |      688 |    689 |      86.13
  94 |   20097 | 黄瓜       | 12小时0分     |     1032 |   1033 |      86.08
  95 |   20306 | 芹菜       | 1天0小时      |     2064 |   2065 |      86.04
  96 |   20161 | 秋菊（黄色）   | 4小时0分      |      324 |    325 |      81.25
  97 |   20110 | 满天星      | 8小时0分      |      648 |    649 |      81.13
  98 |   20143 | 含羞草      | 12小时0分     |      972 |    973 |      81.08
  99 |   20147 | 牵牛花      | 1天0小时      |     1944 |   1945 |      81.04
 100 |   20105 | 小雏菊      | 4小时0分      |      304 |    305 |      76.25
 101 |   20008 | 豌豆       | 8小时0分      |      608 |    609 |      76.13
 102 |   20037 | 莲藕       | 12小时0分     |      912 |    913 |      76.08
 103 |   20041 | 红玫瑰      | 1天0小时      |     1824 |   1825 |      76.04
 104 |   20259 | 银莲花      | 4小时0分      |      288 |    289 |      72.25
 105 |   20007 | 番茄       | 8小时0分      |      576 |    577 |      72.13
 106 |   20098 | 花菜       | 12小时0分     |      864 |    865 |      72.08
 107 |   20305 | 韭菜       | 1天0小时      |     1728 |   1729 |      72.04
 108 |   20059 | 大白菜      | 5分0秒       |        5 |      6 |      72.00
 109 |   20099 | 油菜       | 4小时0分      |      272 |    273 |      68.25
 110 |   20006 | 茄子       | 8小时0分      |      544 |    545 |      68.13
 111 |   20051 | 红枣       | 12小时0分     |      816 |    817 |      68.08
 112 |   20120 | 蒲公英      | 1天0小时      |     1632 |   1633 |      68.04
 113 |   20065 | 大蒜       | 10分0秒      |       10 |     11 |      66.00
 114 |   20005 | 土豆       | 2小时0分      |      128 |    129 |      64.50
 115 |   20071 | 小白菜      | 2小时30分     |      160 |    161 |      64.40
 116 |   20096 | 生菜       | 3小时0分      |      192 |    193 |      64.33
 117 |   20066 | 鲜姜       | 1小时40分     |      106 |    107 |      64.20
 118 |   20064 | 大葱       | 20分0秒      |       20 |     21 |      63.00
 119 |   20060 | 水稻       | 40分0秒      |       41 |     42 |      63.00
 120 |   20061 | 小麦       | 1小时0分      |       62 |     63 |      63.00
 121 |   20004 | 玉米       | 1小时20分     |       82 |     83 |      62.25
